Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,PW-383,12.896606,77.645676,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,PW-383,12.89678,77.645576,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,PW-384,12.896452,77.645526,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli Zone,,,PW -364,12.897233,77.646032,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,Paw-385,12.896864,77.645609,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,PW-378,12.896727,77.645948,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli Zone,,,PW -386,12.896851,77.645952,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli Zone,,,R-31,12.897007,77.64594,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,,12.896375,77.646367,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,PW-350,12.896266,77.646333,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,,12.896357,77.64625,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli Zone,,,PW-376,12.896516,77.646001,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,,12.896605,77.645629,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli zone,,,S-26,12.910732,77.631618,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli Zone,,,S-7,12.910501,77.631461,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli Zone,,,S-28,12.910377,77.631377,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli zone,,,S-23,12.910247,77.63254,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli zone,,,S-24,12.911575,77.631833,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli Zone,,,S-32,12.910854,77.631185,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli zone,,,S-33,12.910912,77.63139,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli zone,,,S-29,12.910792,77.631141,,,,,,,,
Swiss Re Foundation,"4th Main park,Sector 7",16,Bommanahalli Zone,,,S-30,12.910577,77.63122,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-1,12.909194,77.633477,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-2,12.90934,77.633686,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-3,12.909241,77.633681,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-32,12.915554,77.638886,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-4,12.909181,77.633767,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-6,12.909176,77.633816,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-7,12.909146,77.633674,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-33,12.915838,77.639531,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-33,12.915773,77.639153,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-8,12.909205,77.633598,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-9,12.909196,77.633475,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-129,12.915529,77.639635,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,S-10,12.909276,77.633275,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-130,12.915168,77.639294,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-131,12.915404,77.639899,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli Zone,,,R-34,12.909242,77.633338,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-35,12.915234,77.639635,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-125,12.915267,77.638667,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-36,12.915236,77.638974,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,0,12.915122,77.639001,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-37,12.917373,77.653155,,,,,,,,
Mphasis,R-37,8,Bommanahalli zone,,,PW-2,12.917227,77.653573,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-38,12.917418,77.65362,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-39,12.917186,77.653627,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-40,12.916958,77.653602,,,,,,,,
Mphasis,Nethravathi Park R-40,8,Bommanahalli zone,,,0,12.916928,77.65351,,,,,,,,
Mphasis,Nethravathi Park R-40,8,Bommanahalli zone,,,0,12.917034,77.652971,,,,,,,,
Mphasis,Nethravathi Park R-40,8,Bommanahalli zone,,,PW-8,12.917093,77.652994,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,PW-7,12.916753,77.652915,,,,,,,,
Mphasis,Nethravathi Park R-40,8,Bommanahalli zone,,,0,12.916751,77.652907,,,,,,,,
Telstra,"Green park,sector 2, HSR layout",21,Bommanahalli Zone,,,R-41,12.909989,77.646013,,,,,,,,
Telstra,"Green park,sector 2, HSR layout",21,Bommanahalli Zone,,,T-5,12.909693,77.646,,,,,,,,
Telstra,"Green park,sector 2, HSR layout",21,Bommanahalli Zone,,,T-6,12.909555,77.645971,,,,,,,,
Telstra,"Green park,sector 2, HSR layout",21,Bommanahalli Zone,,,T-7,12.909631,77.646267,,,,,,,,
Telstra,"Green park,sector 2, HSR layout",21,Bommanahalli Zone,,,R-42,12.910095,77.646552,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-44,12.910865,77.633637,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-43,12.910775,77.633938,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-42,12.910903,77.633915,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-38,12.91087,77.633926,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-41,12.910807,77.633816,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-40,12.910746,77.633605,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-39,12.9111,77.633568,,,,,,,,
Mphasis,Naft Collage back side Park,10,Bommanahalli zone,,,Pw-158,12.911085,77.652622,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-36,12.911152,77.633593,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-37,12.911275,77.633785,,,,,,,,
Mphasis,Naft Collage back side Park,10,Bommanahalli zone,,,PW-159,12.911232,77.652483,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-51,12.911245,77.632926,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-49,12.911072,77.633076,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-50,12.911249,77.633014,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-46,12.910795,77.633444,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-47,12.910819,77.633253,,,,,,,,
Swiss Re Foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-45,12.910836,77.63331,,,,,,,,
Mphasis,Naft Collage back side Park 1,13,Bommanahalli zone,,,PW-160,12.909979,77.652665,,,,,,,,
Mphasis,Naft Collage back side Park 1,13,Bommanahalli zone,,,PW-160,12.909955,77.652685,,,,,,,,
Mphasis,Naft Collage back side Park 1,13,Bommanahalli zone,,,PW-160,12.909701,77.652641,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-143,12.90814,77.636025,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-144,12.908254,77.63625,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli,,,PW-142,12.908319,77.636247,,,,,,,,
Mphasis,Rajyotsava Park,11,Bommanahalli zone,,,PW-166,12.90935,77.65138,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,R-43,12.908122,77.63597,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-140,12.908163,77.636449,,,,,,,,
Mphasis,Rajyotsava Park,11,Bommanahalli zone,,,P2-165,12.909575,77.651135,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-139,12.908213,77.636747,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,R-44,12.908251,77.636724,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-136,12.908057,77.636117,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,R-45,12.907968,77.635917,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-135,12.907981,77.636031,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-145,12.908173,77.636555,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,0,12.908228,77.636017,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-63,12.913942,77.646211,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-64,12.913711,77.646245,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,PW-171,12.908145,77.640881,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,PW-170,12.908248,77.640773,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-69,12.913764,77.646515,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,R-46,12.908093,77.640692,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-68,12.913466,77.646369,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,R-47,12.913793,77.646335,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,R-48,12.907739,77.640753,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,PW-168,12.90777,77.640855,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-70,12.914027,77.646475,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-67,12.913323,77.646395,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-65,12.91351,77.646265,,,,,,,,
Telstra,Independence Park,20,Bommanahalli zone,,,T-1,12.906999,77.647116,,,,,,,,
Telstra,Independence Park,20,Bommanahalli zone,,,T-2,12.907126,77.64711,,,,,,,,
ExxonMobil,Munneshwara Park,EX101,JP nagar,,,R-49,12.908904,77.595171,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP Nagar,,,R-50,12.90911,77.594798,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP Nagar,,,0,12.909044,77.594583,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP Nagar,,,R-51,12.909049,77.59464,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP nagar,,,R-52,12.909088,77.59442,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP nagar,,,R-53,12.909109,77.594381,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP nagar,,,R-54,12.909064,77.594992,,,,,,,,
ExxonMobil,Munneswara park,EX101,JP nagar,,,R-55,12.909371,77.595309,,,,,,,,
Broadcom,BIO CENTER,B101,Bannerugatta Road,,,R-56,12.8805,77.590286,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-410,12.880433,77.590411,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-409,12.880219,77.589777,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-408,12.880272,77.590191,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-407,12.880486,77.590204,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-57,12.879973,77.589463,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-406,12.879964,77.590008,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-404,12.880038,77.590355,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-403,12.879989,77.589418,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-402,12.880113,77.590841,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta road,,,B-401,12.880072,77.591023,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-395,12.879998,77.591092,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-393,12.880103,77.590992,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-397,12.880252,77.591188,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-398,12.87996,77.589464,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-394,12.879668,77.591166,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-393,12.879686,77.591194,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-392,12.879683,77.591197,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-418,12.879548,77.59116,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-388,12.879526,77.591037,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-387,12.879541,77.59113,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-386,12.879529,77.591164,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-385,12.879427,77.59113,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-384,12.879532,77.591093,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-383,12.879544,77.59114,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B382,12.879534,77.591119,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-58,12.879211,77.591586,,,,,,,,
Broadcom,BIO Centre,B101,Bannerugatta Road,,,B-380,12.879505,77.591031,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-379,12.87952,77.591049,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,R-59,12.879132,77.59165,,,,,,,,
Broadcom,BIO centre,B101,Bannerugatta Road,,,B-376,12.879409,77.591374,,,,,,,,
